# name	replacement
docs-writing	ghostwriter
readme-creator	ghostwriter
copywriting	ghostwriter
train-ghostwriter	ghostwriter
evaluate-ghostwriter	ghostwriter
brandwriter	ghostwriter
branding	none
product-judgment	none
tone-of-voice	ghostwriter
blog-post	ghostwriter
optimise-seo	seo
seo-program	seo
pr-reviewer	tidy
codebase-architecture	architecture
multi-tenant-architecture	architecture
scaffold-nextjs	scaffold
scaffold-cli	scaffold
planning	backlog
agents-md	gates
ci-speedup	gates
pr-creator	ship
autoship	ship
pr-babysitter	ship
product-design	design
ui-design	design
ui-verification	design
ui-animation	design
typography-audit	design
eli5	ghostwriter
save-md	none
